class,detection_score,filename,height,linkIndex,linkLength,spatial_angle_smoothed,spatial_angle_simple,spatial_dist,spatial_duration,spatial_speed,timestamp,center_smoothed_x,center_smoothed_y
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,,UP,,,,2335,825,540
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,93.81407483,RIGHT,15.03329638,67,224.3775579,2402,840,541
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,97.07739096,RIGHT,11.18033989,66,169.3990892,2468,851,543
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,92.52288851,RIGHT,18.11077028,67,270.3100041,2535,869,541
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,89.27033763,RIGHT,17.2626765,67,257.6518881,2602,886,538
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,87.41013955,RIGHT,18.24828759,66,276.4892059,2668,904,535
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,86.39576829,RIGHT,21.21320344,67,316.6149767,2735,925,532
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,86.05322934,RIGHT,20.09975124,67,299.9962872,2802,945,530
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,86.63741831,RIGHT,20,67,298.5074627,2869,965,530
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,87.09904212,RIGHT,19,66,287.8787879,2935,984,530
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,86.69742492,RIGHT,19.10497317,67,285.1488534,3002,1003,528
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,85.9996653,RIGHT,19.23538406,67,287.0952845,3069,1022,525
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,85.762041,RIGHT,19.10497317,66,289.4692905,3135,1041,523
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,85.90242388,RIGHT,19.02629759,67,283.9745909,3202,1060,522
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,86.69635713,RIGHT,19.02629759,67,283.9745909,3269,1079,523
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,87.40529512,RIGHT,18.02775638,67,269.0709907,3336,1097,524
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,87.99197071,RIGHT,20.02498439,66,303.4088545,3402,1117,525
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,88.81045017,RIGHT,20.09975124,67,299.9962872,3469,1137,527
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,90.2490341,RIGHT,18.43908891,67,275.2102823,3536,1155,531
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,88.44577015,RIGHT,13.60147051,0,,3536,1168,527
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,90.05419599,RIGHT,16.4924225,67,246.1555597,3603,1184,531
YellowfinBream,0.95347479,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,13,58,87.32417502,RIGHT,8.94427191,0,,3603,1192,527
