class,detection_score,duration,filename,height,trackerType,tracker_angle,tracker_angle_simple,tracker_center_x,tracker_center_y,width
YellowfinBream,0.99,0.3,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.99,0.06,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,0.44635,0.4963,1920
YellowfinBream,0.99,0.31,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.99,0.06,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,327,UP,0.44271,0.48519,1920
YellowfinBream,0.99,0.3,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.99,0.05,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,122,RIGHT,0.45729,0.49444,1920
YellowfinBream,0.99,0.3,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.99,0.06,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,90,RIGHT,0.46198,0.4963,1920
YellowfinBream,0.99,0.3,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.99,0.06,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,157,DOWN,0.47031,0.48519,1920
YellowfinBream,0.99,0.06,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,63,RIGHT,0.47396,0.48333,1920
YellowfinBream,0.99,0.47,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,140,DOWN,0.48333,0.49444,1920
YellowfinBream,0.99,0.05,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,42,UP,0.4901,0.48704,1920
YellowfinBream,0.99,0.31,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.99,0.06,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,155,DOWN,0.49896,0.48981,1920
YellowfinBream,0.99,0.31,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.99,0.06,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,108,RIGHT,0.50365,0.49074,1920
YellowfinBream,0.97,0.34,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.97,0.05,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,90,RIGHT,0.53542,0.48333,1920
YellowfinBream,0.97,0.34,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.97,0.07,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,79,RIGHT,0.55,0.48148,1920
YellowfinBream,0.97,0.33,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.97,0.06,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,117,RIGHT,0.55781,0.48148,1920
YellowfinBream,0.97,0.32,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.97,0.06,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,76,RIGHT,0.56458,0.48056,1920
YellowfinBream,0.97,0.34,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.97,0.08,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,125,RIGHT,0.57292,0.48148,1920
YellowfinBream,0.97,0.31,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.97,0.06,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,90,RIGHT,0.5849,0.48148,1920
YellowfinBream,0.97,0.32,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.97,0.07,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,100,RIGHT,0.59271,0.48148,1920
YellowfinBream,0.97,0.35,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,,,,,1920
YellowfinBream,0.97,0.07,vlc-record-2019-10-02-08h36m17s-10092019_C3_CLOSE_Tweeds_1.MOV-.avi,1080,siammask,132,RIGHT,0.60313,0.48704,1920
